games,season,canonical
Air Force,Air Force (Mountain West),Air Force
Akron,Akron (MAC),Akron
Alabama,Alabama (SEC),Alabama
App State,App State (Sun Belt),App State
Arizona,Arizona (Pac-12),Arizona
Arizona State,Arizona St. (Pac-12),Arizona State
Arkansas,Arkansas (SEC),Arkansas
Arkansas State,Arkansas St. (Sun Belt),Arkansas State
Army,Army West Point (FBS Independent),Army
Auburn,Auburn (SEC),Auburn
BYU,BYU (Big 12),BYU
Ball State,Ball St. (MAC),Ball State
Baylor,Baylor (Big 12),Baylor
Boise State,Boise St. (Mountain West),Boise State
Boston College,Boston College (ACC),Boston College
Bowling Green,Bowling Green (MAC),Bowling Green
Buffalo,Buffalo (MAC),Buffalo
California,California (Pac-12),California
Central Michigan,Central Mich. (MAC),Central Michigan
Charlotte,Charlotte (AAC),Charlotte
Cincinnati,Cincinnati (Big 12),Cincinnati
Clemson,Clemson (ACC),Clemson
Coastal Carolina,Coastal Carolina (Sun Belt),Coastal Carolina
Colorado,Colorado (Pac-12),Colorado
Colorado State,Colorado St. (Mountain West),Colorado State
Duke,Duke (ACC),Duke
East Carolina,East Carolina (AAC),East Carolina
Eastern Michigan,Eastern Mich. (MAC),Eastern Michigan
Florida International,FIU (CUSA),Florida International
Florida Atlantic,Fla. Atlantic (AAC),Florida Atlantic
Florida,Florida (SEC),Florida
Florida State,Florida St. (ACC),Florida State
Fresno State,Fresno St. (Mountain West),Fresno State
Southern,Ga. Southern (Sun Belt),Southern
Georgia,Georgia (SEC),Georgia
Georgia State,Georgia St. (Sun Belt),Georgia State
Georgia Tech,Georgia Tech (ACC),Georgia Tech
Hawai'i,Hawaii (Mountain West),Hawai'i
Houston,Houston (Big 12),Houston
Illinois,Illinois (Big Ten),Illinois
Indiana,Indiana (Big Ten),Indiana
Iowa,Iowa (Big Ten),Iowa
Iowa State,Iowa St. (Big 12),Iowa State
Jacksonville State,Jacksonville St. (CUSA),Jacksonville State
James Madison,James Madison (Sun Belt),James Madison
Kansas,Kansas (Big 12),Kansas
Kansas State,Kansas St. (Big 12),Kansas State
Kent State,Kent St. (MAC),Kent State
Kentucky,Kentucky (SEC),Kentucky
LSU,LSU (SEC),LSU
Liberty,Liberty (CUSA),Liberty
Louisiana,Louisiana (Sun Belt),Louisiana
Louisiana Tech,Louisiana Tech (CUSA),Louisiana Tech
Louisville,Louisville (ACC),Louisville
Marshall,Marshall (Sun Belt),Marshall
Maryland,Maryland (Big Ten),Maryland
Massachusetts,Massachusetts (FBS Independent),Massachusetts
Memphis,Memphis (AAC),Memphis
Miami,Miami (FL) (ACC),Miami (FL)
Miami (OH),Miami (OH) (MAC),Miami (OH)
Michigan,Michigan (Big Ten),Michigan
Michigan State,Michigan St. (Big Ten),Michigan State
Middle Tennessee,Middle Tenn. (CUSA),Middle Tennessee
Minnesota,Minnesota (Big Ten),Minnesota
Mississippi State,Mississippi St. (SEC),Mississippi State
Missouri,Missouri (SEC),Missouri
NC State,NC State (ACC),NC State
Northern Illinois,NIU (MAC),Northern Illinois
Navy,Navy (AAC),Navy
Nebraska,Nebraska (Big Ten),Nebraska
Nevada,Nevada (Mountain West),Nevada
New Mexico,New Mexico (Mountain West),New Mexico
New Mexico State,New Mexico St. (CUSA),New Mexico State
North Carolina,North Carolina (ACC),North Carolina
North Texas,North Texas (AAC),North Texas
Northwestern,Northwestern (Big Ten),Northwestern
Notre Dame,Notre Dame (FBS Independent),Notre Dame
Ohio,Ohio (MAC),Ohio
Ohio State,Ohio St. (Big Ten),Ohio State
Oklahoma,Oklahoma (Big 12),Oklahoma
Oklahoma State,Oklahoma St. (Big 12),Oklahoma State
Old Dominion,Old Dominion (Sun Belt),Old Dominion
Ole Miss,Ole Miss (SEC),Ole Miss
Oregon,Oregon (Pac-12),Oregon
Oregon State,Oregon St. (Pac-12),Oregon State
Penn State,Penn St. (Big Ten),Penn State
Pittsburgh,Pittsburgh (ACC),Pittsburgh
Purdue,Purdue (Big Ten),Purdue
Reclassifying,Reclassifying,Reclassifying
Rice,Rice (AAC),Rice
Rutgers,Rutgers (Big Ten),Rutgers
SMU,SMU (AAC),SMU
Sam Houston,Sam Houston (CUSA),Sam Houston
San Diego State,San Diego St. (Mountain West),San Diego State
San José State,San Jose St. (Mountain West),San José State
South Alabama,South Alabama (Sun Belt),South Alabama
South Carolina,South Carolina (SEC),South Carolina
